Sim,Status,E0,P0,E1,P1,N,Xb,Yb,Zb1,Zb2,CD,CDH,Threshold,EIonize,Fano,CoefL,CoefT
Var806p0,2,806.0,Proton,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,70.59611229697018,22.130534505220307,0.2594599993263787,0.0001082462563738,0.0021709394660949
VarMg20ProtonAlpha0,4,1355.51,Proton,497.55,-Alpha,100,2.0,2.0,0.0,40.0,1,1,93.35083449685042,23.042770972751867,0.2287709121141815,0.0001645381559341,0.0020099134526945
Var500a0,2,500.0,Alpha,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,59.945962878208896,22.15664290801512,0.2284607756238043,0.0001114629691614,0.0022190893829969
Var806p1,2,806.0,Proton,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,97.80199612797848,22.584169105858155,0.2206058546589663,5.426591102342385e-05,0.0016154094481173
VarMg20ProtonAlpha1,4,1087.54,Proton,495.28,-Alpha,100,2.0,2.0,0.0,40.0,1,1,71.29734136285684,22.007678083097453,0.2273193125708492,0.0001474918047165,0.0026021966999235
Var500a1,4,500.0,Alpha,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,88.84334850577588,22.19078309684217,0.2537645338478525,0.0001435729073039,0.0028216198801683
Var806p2,4,806.0,Proton,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,54.74316800709716,21.542005330729204,0.2252719904027257,7.737197530694167e-05,0.0018124100797478
VarMg20ProtonAlpha2,4,1228.15,Proton,502.22,-Alpha,100,2.0,2.0,0.0,40.0,1,1,57.54432176749112,21.77683121237237,0.2248711315322702,0.000100161866567,0.0023279396982374
Var500a2,4,500.0,Alpha,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,75.33747666533876,21.93172943454337,0.2249919334209499,1.9370468607367268e-05,0.0019699756156685
Var806p3,4,806.0,Proton,0.0,-Alpha,100,2.0,2.0,0.0,40.0,1,1,63.24251087259167,22.411553624099703,0.2290168855310345,9.740576377160462e-05,0.0017820744645885
